,H+,H2+,H3+,Te,ne
0.1,0.0410961401872471,0.0011545124378377417,0.9577493473749151,0.119548835208857,249194955441.6531
0.1225,0.05118170901677763,0.0013274145731586554,0.9474908764100637,0.12422232495859065,276642259253.9305
0.14500000000000002,0.06210400341214683,0.0015295920964586373,0.9363664044913945,0.12944431565290426,301361932122.05914
0.1675,0.0731270857033817,0.001764267370668615,0.9251086469259497,0.13511317406382925,323612317444.8647
0.19,0.08326396921242318,0.002062067079653256,0.9146739637079235,0.1419957049071805,342046098283.8679
0.2125,0.09816906376415452,0.002364887804693652,0.8994660484311517,0.14793088081441494,360261524644.12933
0.23500000000000001,0.10768993971643233,0.002763340101029102,0.8895467201825387,0.15510734164790912,377538715814.5674
0.2575,0.11295126180389421,0.0031427718577296273,0.8839059663383761,0.16255285347434398,393433814568.4525
0.28,0.12764124884975744,0.003590739797060077,0.8687680113531824,0.16951671571980015,410091723889.815
0.3025,0.13764618643185267,0.004196940485354366,0.858156873082793,0.17804765410648207,425020112900.45447
0.32499999999999996,0.1399304629450395,0.004812567288060117,0.8552569697669005,0.1881656609274352,438724846245.9353
0.34750000000000003,0.1514623425795757,0.005563981116047394,0.8429736763043769,0.197114198621277,453766389793.08
0.37,0.16619974012382188,0.0064818492467219576,0.8273184106294561,0.2076436495788492,469050033085.5081
0.39249999999999996,0.1696602807243151,0.007378411211299062,0.8229613080643858,0.22013145980331494,483054175216.27875
0.41500000000000004,0.1735433772846375,0.008435999915963159,0.8180206227993994,0.23154913320318238,497609744399.4794
0.4375,0.18752233944167176,0.009814083529685314,0.802663577028643,0.24445237102020825,513071553349.44415
0.45999999999999996,0.20055653799621695,0.011435722875449963,0.7880077391283331,0.26000886598398054,528666065529.99963
0.48250000000000004,0.21130925672812767,0.013151303571847966,0.7755394397000244,0.2756228523379468,544793968476.04065
0.505,0.21555205432222518,0.015119998726654687,0.7693279469511203,0.2936442162161031,560552091974.0532
0.5275,0.2263179255712604,0.017467144160610307,0.7562149302681292,0.31324765433863844,576060306350.6984
0.5499999999999999,0.2888726563916496,0.021897431909911065,0.6892299116984394,0.3334118630602122,594746338921.8287
0.5725,0.23791440815376533,0.022888278682747308,0.7391973131634875,0.3586458551124594,609979997410.9093
0.595,0.24861488560331918,0.026346873011975983,0.7250382413847047,0.3849746213242297,629271974161.3999
0.6174999999999999,0.2592843924390285,0.030303861009662862,0.7104117465513087,0.4134759599615353,648945285792.3701
0.64,0.2634292167646771,0.03418029397867047,0.7023904892566525,0.4454954759348342,668728491064.1488
0.6625,0.27786533719274226,0.03925004955586724,0.6828846132513905,0.4843705798984893,689278935202.8317
0.6849999999999999,0.27845023226082416,0.04448689203946998,0.6770628756997058,0.5246713995901893,712838454134.042
0.7074999999999999,0.2918906169831091,0.05084031988608881,0.6572690631308021,0.5732580345975478,736423732259.1881
0.73,0.2911822647585068,0.05746141569224022,0.6513563195492529,0.632656090356465,760983154412.8145
0.7525,0.3056228962868037,0.06571501561849477,0.6286620880947015,0.6947521670313325,790125351191.539
0.7749999999999999,0.3165117912820476,0.0746954299945221,0.6087927787234303,0.770563345724397,818642697777.4493
0.7975,0.32237161780205364,0.08484174416764413,0.5927866380303022,0.8565580292110252,852919237906.2119
0.82,0.3306774284811667,0.09578137520473469,0.5735411963140987,0.9662037038841442,886204399410.2969
0.8424999999999999,0.3361246962556202,0.1083555163612761,0.5555197873831038,1.1000937793692145,924391696920.2681
0.865,0.33765516739891926,0.1223247416174523,0.5400200909836285,1.2518240639675735,967353750652.9683
0.8875,0.3596980623133356,0.1378947121033268,0.5024072255833375,1.44969524813976,1018135265898.2761
0.9099999999999999,0.3659481686561134,0.1563691189399881,0.47768271240389854,1.704696644062237,1073785525600.23
0.9325,0.3749722383061368,0.1768546313166004,0.44817313037726286,2.0426541235898954,1138477150148.5823
0.955,0.38092197856195115,0.19874989277978974,0.4203281286582591,2.5802703825239917,1207172307973.1638
0.9774999999999999,0.39264777283342595,0.22336268578085644,0.38398954138571756,3.371288872819985,1297199886260.802
1.0,0.3965738396785425,0.24031260931885712,0.36311355100260034,5.368026756948409,1359409761752.8528
