	0
0.01	1.597507701996195e-14
0.02	1.1477614771077291e-14
0.03	9.459236476316775e-15
0.04	8.246320918572481e-15
0.05	7.413683053095777e-15
0.060000000000000005	6.796171416378319e-15
0.06999999999999999	6.314374563941165e-15
0.08	5.9247175560481234e-15
0.09	5.601020518935499e-15
0.09999999999999999	5.326474585610155e-15
0.11	5.0897244902840745e-15
0.12	4.882784033806561e-15
0.13	4.699849855255761e-15
0.14	4.53658901180025e-15
0.15000000000000002	4.389691733753039e-15
0.16	4.2565800395371195e-15
0.17	4.135211811320988e-15
0.18000000000000002	4.023945430001025e-15
0.19	3.9214440131924406e-15
0.2	3.826606247685027e-15
0.21000000000000002	3.738515502885977e-15
0.22	3.656401773951951e-15
0.23	3.5796127973933875e-15
0.24000000000000002	3.507591834768851e-15
0.25	3.439860377559868e-15
0.26	3.3760045341263945e-15
0.27	3.315664206348031e-15
0.28	3.258524404238728e-15
0.29000000000000004	3.204308216469015e-15
0.3	3.1527710759916435e-15
0.31	3.1036960477698494e-15
0.32	3.056889929948314e-15
0.33	3.0121800074805127e-15
0.34	2.969411332916452e-15
0.35000000000000003	2.928444436032435e-15
0.36000000000000004	2.8891533845607636e-15
0.37	2.851424134104227e-15
0.38	2.8151531175907887e-15
0.39	2.7802460342085726e-15
0.4	2.7466168053006505e-15
0.41000000000000003	2.7141866706693523e-15
0.42000000000000004	2.6828834034971175e-15
0.43	2.6526406259043962e-15
0.44	2.6233972102393472e-15
0.45	2.595096753685619e-15
0.46	2.567687115804252e-15
0.47000000000000003	2.5411200102871858e-15
0.48000000000000004	2.5153506435662828e-15
0.49	2.49033739405048e-15
0.5	2.4660415266999517e-15
0.51	2.4424269384260406e-15
0.52	2.419459930457724e-15
0.53	2.3971090043626373e-15
0.54	2.3753446788715313e-15
0.55	2.354139325044564e-15
0.56	2.333467017648055e-15
0.5700000000000001	2.3133034008912745e-15
0.5800000000000001	2.293625566912435e-15
0.59	2.274411945608189e-15
0.6	2.2556422045768385e-15
0.61	2.237297158096899e-15
0.62	2.2193586841932427e-15
0.63	2.2018096489560383e-15
