,t,H,H+,H2,H2+,H3+,e
0,0.0,100000000000000.0,100000000000000.0,65442834138486.31,45000000000000.0,10000000000000.0,155000000000000.0
1,0.1,160993799403.3446,961720.7933581227,225360341695411.66,342941282.4516213,1101414153.4221969,1445317156.6671762
2,0.2,160993799402.43265,961720.7933539192,225360341695412.12,342941282.45162296,1101414153.4222066,1445317156.6671834
3,0.30000000000000004,160993799402.4164,961720.793353843,225360341695412.12,342941282.45162237,1101414153.4222043,1445317156.6671805
4,0.4,160993799402.41586,961720.7933538399,225360341695412.12,342941282.451622,1101414153.4222026,1445317156.6671784
5,0.5,160993799402.4159,961720.7933538402,225360341695412.12,342941282.451622,1101414153.4222026,1445317156.6671784
6,0.6000000000000001,160993799402.41595,961720.7933538406,225360341695412.12,342941282.451622,1101414153.4222026,1445317156.6671784
7,0.7000000000000001,160993799402.41602,961720.7933538408,225360341695412.12,342941282.451622,1101414153.4222026,1445317156.6671784
8,0.8,160993799402.41605,961720.7933538412,225360341695412.12,342941282.451622,1101414153.4222026,1445317156.6671784
9,0.9,160993799402.4161,961720.7933538415,225360341695412.12,342941282.451622,1101414153.4222026,1445317156.6671784
10,1.0,160993799402.41617,961720.7933538418,225360341695412.12,342941282.451622,1101414153.4222026,1445317156.6671784
11,1.1,160993799402.41623,961720.7933538421,225360341695412.12,342941282.451622,1101414153.4222026,1445317156.6671784
12,1.2000000000000002,160993799402.41626,961720.7933538425,225360341695412.12,342941282.451622,1101414153.4222023,1445317156.6671782
13,1.3,160993799402.41632,961720.7933538427,225360341695412.12,342941282.451622,1101414153.4222023,1445317156.6671782
14,1.4000000000000001,160993799402.41638,961720.793353843,225360341695412.12,342941282.451622,1101414153.4222023,1445317156.6671782
15,1.5,160993799402.4164,961720.7933538434,225360341695412.12,342941282.451622,1101414153.4222023,1445317156.6671782
16,1.6,160993799402.41647,961720.7933538437,225360341695412.12,342941282.451622,1101414153.4222023,1445317156.6671782
17,1.7000000000000002,160993799402.41653,961720.793353844,225360341695412.12,342941282.451622,1101414153.4222023,1445317156.6671782
18,1.8,160993799402.41656,961720.7933538443,225360341695412.12,342941282.451622,1101414153.4222023,1445317156.6671782
19,1.9000000000000001,160993799402.41663,961720.7933538447,225360341695412.12,342941282.451622,1101414153.4222023,1445317156.6671782
20,2.0,160993799402.41666,961720.7933538448,225360341695412.12,342941282.45162195,1101414153.4222023,1445317156.6671782
21,2.1,160993799402.41663,961720.7933538446,225360341695412.12,342941282.45162195,1101414153.4222023,1445317156.6671782
22,2.2,160993799402.4166,961720.7933538444,225360341695412.12,342941282.45162195,1101414153.4222023,1445317156.6671782
23,2.3000000000000003,160993799402.4166,961720.7933538442,225360341695412.12,342941282.45162195,1101414153.4222023,1445317156.6671782
24,2.4000000000000004,160993799402.41656,961720.7933538441,225360341695412.12,342941282.45162195,1101414153.4222023,1445317156.6671782
25,2.5,160993799402.41656,961720.7933538439,225360341695412.12,342941282.45162195,1101414153.4222023,1445317156.6671782
26,2.6,160993799402.41653,961720.7933538436,225360341695412.12,342941282.45162195,1101414153.4222023,1445317156.6671782
27,2.7,160993799402.4165,961720.7933538435,225360341695412.12,342941282.45162195,1101414153.4222023,1445317156.6671782
28,2.8000000000000003,160993799402.4165,961720.7933538433,225360341695412.12,342941282.45162195,1101414153.4222023,1445317156.6671782
29,2.9000000000000004,160993799402.41647,961720.7933538432,225360341695412.12,342941282.45162195,1101414153.4222023,1445317156.6671782
30,3.0,160993799402.41644,961720.7933538429,225360341695412.12,342941282.45162195,1101414153.4222023,1445317156.6671782
31,3.1,160993799402.41644,961720.7933538428,225360341695412.12,342941282.45162195,1101414153.4222023,1445317156.6671782
32,3.2,160993799402.4164,961720.7933538426,225360341695412.12,342941282.45162195,1101414153.4222023,1445317156.6671782
33,3.3000000000000003,160993799402.4164,961720.7933538425,225360341695412.12,342941282.45162195,1101414153.4222023,1445317156.6671782
34,3.4000000000000004,160993799402.41638,961720.7933538422,225360341695412.12,342941282.45162195,1101414153.4222023,1445317156.6671782
35,3.5,160993799402.41635,961720.7933538421,225360341695412.12,342941282.45162195,1101414153.4222023,1445317156.6671782
36,3.6,160993799402.41632,961720.793353842,225360341695412.12,342941282.451622,1101414153.4222023,1445317156.6671782
37,3.7,160993799402.41632,961720.793353842,225360341695412.12,342941282.451622,1101414153.4222023,1445317156.6671782
38,3.8000000000000003,160993799402.41632,961720.793353842,225360341695412.12,342941282.451622,1101414153.4222023,1445317156.6671782
39,3.9000000000000004,160993799402.41632,961720.793353842,225360341695412.12,342941282.451622,1101414153.4222023,1445317156.6671782
40,4.0,160993799402.41632,961720.7933538419,225360341695412.12,342941282.45162195,1101414153.4222023,1445317156.6671782
41,4.1000000000000005,160993799402.41632,961720.7933538419,225360341695412.12,342941282.45162195,1101414153.4222023,1445317156.6671782
42,4.2,160993799402.41632,961720.7933538419,225360341695412.12,342941282.45162195,1101414153.4222023,1445317156.6671782
43,4.3,160993799402.41632,961720.7933538419,225360341695412.12,342941282.45162195,1101414153.4222023,1445317156.6671782
44,4.4,160993799402.41632,961720.7933538419,225360341695412.12,342941282.45162195,1101414153.4222023,1445317156.6671782
45,4.5,160993799402.41632,961720.7933538419,225360341695412.12,342941282.45162195,1101414153.4222023,1445317156.6671782
46,4.6000000000000005,160993799402.41632,961720.7933538419,225360341695412.12,342941282.45162195,1101414153.4222023,1445317156.6671782
47,4.7,160993799402.41632,961720.7933538419,225360341695412.12,342941282.45162195,1101414153.4222023,1445317156.6671782
48,4.800000000000001,160993799402.4163,961720.7933538419,225360341695412.12,342941282.45162195,1101414153.4222023,1445317156.6671782
49,4.9,160993799402.4163,961720.7933538418,225360341695412.12,342941282.45162195,1101414153.4222023,1445317156.6671782
50,5.0,160993799402.4163,961720.7933538418,225360341695412.12,342941282.45162195,1101414153.4222023,1445317156.6671782
51,5.1000000000000005,160993799402.4163,961720.7933538418,225360341695412.12,342941282.45162195,1101414153.422202,1445317156.667178
52,5.2,160993799402.4163,961720.7933538418,225360341695412.12,342941282.45162195,1101414153.422202,1445317156.667178
53,5.300000000000001,160993799402.4163,961720.7933538418,225360341695412.12,342941282.45162195,1101414153.422202,1445317156.667178
54,5.4,160993799402.4163,961720.7933538418,225360341695412.12,342941282.45162195,1101414153.422202,1445317156.667178
55,5.5,160993799402.4163,961720.7933538418,225360341695412.12,342941282.45162195,1101414153.422202,1445317156.667178
56,5.6000000000000005,160993799402.4163,961720.7933538418,225360341695412.12,342941282.45162195,1101414153.422202,1445317156.667178
57,5.7,160993799402.4163,961720.7933538416,225360341695412.12,342941282.45162195,1101414153.422202,1445317156.667178
58,5.800000000000001,160993799402.4163,961720.7933538416,225360341695412.12,342941282.45162195,1101414153.422202,1445317156.667178
59,5.9,160993799402.4163,961720.7933538416,225360341695412.12,342941282.45162195,1101414153.422202,1445317156.667178
60,6.0,160993799402.4163,961720.7933538416,225360341695412.12,342941282.45162195,1101414153.422202,1445317156.667178
61,6.1000000000000005,160993799402.4163,961720.7933538416,225360341695412.12,342941282.45162195,1101414153.422202,1445317156.667178
62,6.2,160993799402.41626,961720.7933538416,225360341695412.12,342941282.45162195,1101414153.422202,1445317156.667178
63,6.300000000000001,160993799402.41626,961720.7933538416,225360341695412.12,342941282.45162195,1101414153.422202,1445317156.667178
64,6.4,160993799402.41626,961720.7933538416,225360341695412.12,342941282.45162195,1101414153.422202,1445317156.667178
65,6.5,160993799402.41626,961720.7933538416,225360341695412.12,342941282.45162195,1101414153.422202,1445317156.667178
66,6.6000000000000005,160993799402.41626,961720.7933538415,225360341695412.12,342941282.45162195,1101414153.422202,1445317156.667178
67,6.7,160993799402.41626,961720.7933538415,225360341695412.12,342941282.45162195,1101414153.422202,1445317156.667178
68,6.800000000000001,160993799402.41626,961720.7933538415,225360341695412.12,342941282.45162195,1101414153.422202,1445317156.667178
69,6.9,160993799402.41626,961720.7933538415,225360341695412.12,342941282.45162195,1101414153.422202,1445317156.667178
70,7.0,160993799402.41626,961720.7933538415,225360341695412.12,342941282.45162195,1101414153.422202,1445317156.667178
71,7.1000000000000005,160993799402.41626,961720.7933538415,225360341695412.12,342941282.45162195,1101414153.422202,1445317156.667178
72,7.2,160993799402.41626,961720.7933538415,225360341695412.12,342941282.45162195,1101414153.422202,1445317156.667178
73,7.300000000000001,160993799402.41626,961720.7933538415,225360341695412.12,342941282.45162195,1101414153.422202,1445317156.667178
74,7.4,160993799402.41626,961720.7933538415,225360341695412.12,342941282.45162195,1101414153.422202,1445317156.667178
75,7.5,160993799402.41626,961720.7933538414,225360341695412.12,342941282.45162195,1101414153.422202,1445317156.667178
76,7.6000000000000005,160993799402.41623,961720.7933538414,225360341695412.12,342941282.45162195,1101414153.422202,1445317156.667178
77,7.7,160993799402.41623,961720.7933538414,225360341695412.12,342941282.45162195,1101414153.422202,1445317156.667178
78,7.800000000000001,160993799402.41623,961720.7933538414,225360341695412.12,342941282.45162195,1101414153.422202,1445317156.667178
79,7.9,160993799402.41623,961720.7933538414,225360341695412.12,342941282.45162195,1101414153.422202,1445317156.667178
80,8.0,160993799402.41623,961720.7933538414,225360341695412.12,342941282.45162195,1101414153.422202,1445317156.667178
81,8.1,160993799402.41623,961720.7933538414,225360341695412.12,342941282.45162195,1101414153.422202,1445317156.667178
82,8.200000000000001,160993799402.41623,961720.7933538414,225360341695412.12,342941282.45162195,1101414153.422202,1445317156.667178
83,8.3,160993799402.41623,961720.7933538414,225360341695412.12,342941282.45162195,1101414153.422202,1445317156.667178
84,8.4,160993799402.41623,961720.7933538413,225360341695412.12,342941282.4516219,1101414153.422202,1445317156.667178
85,8.5,160993799402.41623,961720.7933538413,225360341695412.12,342941282.4516219,1101414153.422202,1445317156.667178
86,8.6,160993799402.41623,961720.7933538413,225360341695412.12,342941282.4516219,1101414153.422202,1445317156.667178
87,8.700000000000001,160993799402.41623,961720.7933538413,225360341695412.12,342941282.4516219,1101414153.422202,1445317156.667178
88,8.8,160993799402.41623,961720.7933538413,225360341695412.12,342941282.4516219,1101414153.422202,1445317156.667178
89,8.9,160993799402.41623,961720.7933538413,225360341695412.12,342941282.4516219,1101414153.422202,1445317156.667178
90,9.0,160993799402.4162,961720.7933538413,225360341695412.12,342941282.4516219,1101414153.422202,1445317156.667178
91,9.1,160993799402.4162,961720.7933538413,225360341695412.12,342941282.4516219,1101414153.422202,1445317156.667178
92,9.200000000000001,160993799402.4162,961720.7933538413,225360341695412.12,342941282.4516219,1101414153.4222019,1445317156.6671777
93,9.3,160993799402.4162,961720.7933538412,225360341695412.12,342941282.4516219,1101414153.4222019,1445317156.6671777
94,9.4,160993799402.4162,961720.7933538412,225360341695412.12,342941282.4516219,1101414153.4222019,1445317156.6671777
95,9.5,160993799402.4162,961720.7933538412,225360341695412.12,342941282.4516219,1101414153.4222019,1445317156.6671777
96,9.600000000000001,160993799402.4162,961720.7933538412,225360341695412.12,342941282.4516219,1101414153.4222019,1445317156.6671777
97,9.700000000000001,160993799402.4162,961720.7933538412,225360341695412.12,342941282.4516219,1101414153.4222019,1445317156.6671777
98,9.8,160993799402.4162,961720.7933538412,225360341695412.12,342941282.4516219,1101414153.4222019,1445317156.6671777
99,9.9,160993799402.4162,961720.7933538412,225360341695412.12,342941282.4516219,1101414153.4222019,1445317156.6671777
100,10.0,160993799402.4162,961720.7933538412,225360341695412.12,342941282.4516219,1101414153.4222019,1445317156.6671777
101,10.100000000000001,160993799402.4162,961720.7933538412,225360341695412.12,342941282.4516219,1101414153.4222019,1445317156.6671777
102,10.200000000000001,160993799402.4162,961720.793353841,225360341695412.12,342941282.4516219,1101414153.4222019,1445317156.6671777
103,10.3,160993799402.4162,961720.793353841,225360341695412.12,342941282.4516219,1101414153.4222019,1445317156.6671777
104,10.4,160993799402.41617,961720.793353841,225360341695412.12,342941282.4516219,1101414153.4222019,1445317156.6671777
105,10.5,160993799402.41617,961720.793353841,225360341695412.12,342941282.4516219,1101414153.4222019,1445317156.6671777
106,10.600000000000001,160993799402.41617,961720.793353841,225360341695412.12,342941282.4516219,1101414153.4222019,1445317156.6671777
107,10.700000000000001,160993799402.41617,961720.793353841,225360341695412.12,342941282.4516219,1101414153.4222019,1445317156.6671777
108,10.8,160993799402.41617,961720.793353841,225360341695412.12,342941282.4516219,1101414153.4222019,1445317156.6671777
109,10.9,160993799402.41617,961720.793353841,225360341695412.12,342941282.4516219,1101414153.4222019,1445317156.6671777
110,11.0,160993799402.41617,961720.793353841,225360341695412.12,342941282.4516219,1101414153.4222019,1445317156.6671777
111,11.100000000000001,160993799402.41617,961720.7933538409,225360341695412.12,342941282.4516219,1101414153.4222019,1445317156.6671777
112,11.200000000000001,160993799402.41617,961720.7933538409,225360341695412.12,342941282.4516219,1101414153.4222019,1445317156.6671777
113,11.3,160993799402.41617,961720.7933538409,225360341695412.12,342941282.4516219,1101414153.4222019,1445317156.6671777
114,11.4,160993799402.41617,961720.7933538409,225360341695412.12,342941282.4516219,1101414153.4222019,1445317156.6671777
115,11.5,160993799402.41617,961720.7933538409,225360341695412.12,342941282.4516219,1101414153.4222019,1445317156.6671777
116,11.600000000000001,160993799402.41617,961720.7933538409,225360341695412.12,342941282.4516219,1101414153.4222019,1445317156.6671777
117,11.700000000000001,160993799402.41617,961720.7933538409,225360341695412.12,342941282.4516219,1101414153.4222019,1445317156.6671777
118,11.8,160993799402.41614,961720.7933538409,225360341695412.12,342941282.4516219,1101414153.4222019,1445317156.6671777
119,11.9,160993799402.41614,961720.7933538408,225360341695412.12,342941282.4516219,1101414153.4222019,1445317156.6671777
120,12.0,160993799402.41614,961720.7933538408,225360341695412.12,342941282.4516219,1101414153.4222019,1445317156.6671777
121,12.100000000000001,160993799402.41614,961720.7933538408,225360341695412.12,342941282.4516219,1101414153.4222019,1445317156.6671777
122,12.200000000000001,160993799402.41614,961720.7933538408,225360341695412.12,342941282.4516219,1101414153.4222019,1445317156.6671777
123,12.3,160993799402.41614,961720.7933538408,225360341695412.12,342941282.4516219,1101414153.4222019,1445317156.6671777
124,12.4,160993799402.41614,961720.7933538408,225360341695412.12,342941282.4516219,1101414153.4222019,1445317156.6671777
125,12.5,160993799402.41614,961720.7933538408,225360341695412.12,342941282.4516219,1101414153.4222019,1445317156.6671777
126,12.600000000000001,160993799402.41614,961720.7933538408,225360341695412.12,342941282.4516219,1101414153.4222019,1445317156.6671777
127,12.700000000000001,160993799402.41614,961720.7933538408,225360341695412.12,342941282.4516219,1101414153.4222019,1445317156.6671777
128,12.8,160993799402.41614,961720.7933538407,225360341695412.12,342941282.45162183,1101414153.4222019,1445317156.6671777
129,12.9,160993799402.41614,961720.7933538407,225360341695412.12,342941282.45162183,1101414153.4222019,1445317156.6671777
130,13.0,160993799402.41614,961720.7933538407,225360341695412.12,342941282.45162183,1101414153.4222019,1445317156.6671777
